id;record_unique_identifier;school_id;school_code;school_phone_number;school_alternative_phone_number;schoolemail_addess;school_name;status;free_field_1;free_field_2;free_field_3;created_at;updated_at;is_deleted
1;8620a057-5a99-4d97-9985-c733beec960f;14090;Orchestrator Frozen Computer;payment Cotton overriding;bifurcated invoice;Cotton Metal;Generic;true;policy Beauty;Dollar Dynamic;Marketing;2023-03-30;2023-03-30;2023-03-30
2;38d0d004-d42f-4bf9-af5e-27c4532a94d5;37152;Refined Shoes Account;Computers Ohio Money;Home;Steel invoice Security;RAM;true;Incredible;metrics;middleware;2023-03-30;2023-03-30;2023-03-30
3;07efbd74-4c54-4345-806c-5231aa03f747;40902;Expanded withdrawal;transition turquoise;Kroon;port;Cheese Fresh Roads;true;Tala;Implemented extend;Central Computer;2023-03-30;2023-03-29;2023-03-29
4;39d1f77b-fd29-4af5-baae-c7043fec69c5;97564;Bermuda parsing Architect;deposit intranet New;turquoise customer;next-generation overriding International;Account transmit Balanced;true;parse;Locks convergence;Profit-focused;2023-03-30;2023-03-30;2023-03-30
5;dfb9bb3e-9124-4055-9443-70237c0c8552;14483;People's;Savings Sausages Manors;Brand SDD intuitive;Lev Bedfordshire;Legacy Licensed;false;Overpass Rubber;SDD RAM;cross-platform Director Spain;2023-03-30;2023-03-29;2023-03-30
6;48c74f70-75ac-4978-bab1-3605c8f99f62;80256;Savings Soft;multi-tasking Distributed;vortals Shoes Account;Metrics;Hat;true;digital blockchains;fresh-thinking FTP;system-worthy;2023-03-29;2023-03-30;2023-03-30
7;ac5e5f36-3274-4b86-ab7a-029eccb0b822;92609;Internal SSL Ethiopia;transmitting Clothing;New XSS;Infrastructure;Creative Handmade;false;deposit;Program;systemic Officer;2023-03-30;2023-03-30;2023-03-29
8;bd458549-93f9-4f0f-8d0f-e4014b107c15;75072;primary;deliverables Maine withdrawal;Networked cross-platform;index Buckinghamshire;compress Somoni;false;Brook deposit;experiences Roads;product;2023-03-30;2023-03-29;2023-03-30
9;4cb3e122-a884-48bd-b474-5e3244a340bd;30376;program Regional deliver;Oregon;even-keeled input Arizona;National input Soft;Paradigm;false;Handcrafted RSS;logistical;optical user-centric index;2023-03-30;2023-03-30;2023-03-30
10;975e52d5-c1fa-4717-8678-11c35bb20e17;50205;aggregate;National connect;Planner;Borders Pound Riyal;Incredible neural;false;Oregon;Vermont;best-of-breed monitor override;2023-03-30;2023-03-30;2023-03-30
