id;record_unique_identifier;channel_id;channel_code;channel_name;status;free_field_1;free_field_2;free_field_3;created_at;updated_at;is_deleted
1;49ba6b5a-307c-40c7-97c6-349605b750d7;74444;50630;18171;false;Computers value-added tolerance;override;SDD empowering Soft;2023-03-30T07:14:37;2023-03-29;false
2;496afdc5-9a8a-4900-b1d4-f91fbca2de22;86832;45469;99620;false;back-end digital;Bedfordshire Shoes pink;Dinar bandwidth-monitored;2023-03-30T10:18:24;2023-03-30;false
3;e01f4ba9-4e73-4509-8075-a54ce504d8fa;75448;40653;77901;true;Handmade copy;Greece Bypass invoice;Loaf;2023-03-30T01:57:04;2023-03-29;true
4;69dc71b7-a5ad-47c7-830a-8159502d46ac;64776;59800;43108;false;capacitor alarm Market;Implemented index Islands,;state Quality Representative;2023-03-30T12:13:45;2023-03-29;true
5;7baa88e2-c9b6-407e-a0b1-ac1464996e81;87555;43297;63778;true;Guilder;foreground;RAM;2023-03-30T01:44:15;2023-03-30;false
6;e7404e84-bf28-4a09-8d4c-4b05f9c75e9c;86023;18219;43366;true;navigating American;Mountains deposit;Granite Argentina;2023-03-29T23:02:17;2023-03-30;false
7;ec8753b7-33b1-40eb-8e05-440adc5bdf3e;26277;75894;11383;true;Team-oriented Programmable Profit-focused;Cambridgeshire;plum system infomediaries;2023-03-30T16:59:09;2023-03-29;true
8;8ec97ed4-092a-4a81-95be-46bc47623109;22583;15303;68315;false;Engineer up Networked;pink;Mills;2023-03-30T00:15:23;2023-03-29;false
9;2f7c84d3-3019-4732-9a42-0baa1466ff5b;19748;9619;60521;false;infomediaries;Analyst;Rupee;2023-03-29T19:16:02;2023-03-30;true
10;5dc25342-7be6-439b-9d9e-afc983a8bf0a;1218;64573;21003;false;Washington Configuration Jersey;bandwidth;Soft focus;2023-03-30T05:10:57;2023-03-30;true
