id;record_unique_identifier;student_class_id;student_class_code;student_class_name;student_class_description;status;free_field_1;free_field_2;free_field_3;created_at;updated_at;is_deleted
1;1c5ddd5a-7f70-4a85-9b29-e2b64738542f;4125;Peso;Fresh Cambridgeshire;Baby;true;Future compress;encompassing haptic e-commerce;infrastructure Baby Sausages;2023-03-29;2023-03-30;2023-03-30
2;347ccb58-2f6b-4eb3-8cd0-f853f21593ea;85321;Music Fresh Concrete;Bermuda;bypass;false;Pants Usability parse;Turkey PNG;Lead;2023-03-30;2023-03-30;2023-03-30
3;f2efaac1-7b16-4371-99a9-4fbab0b042fe;94729;Incredible SMTP;index deposit;Sausages;true;Small Texas JBOD;24/365 HTTP tan;one-to-one green;2023-03-30;2023-03-30;2023-03-30
4;c78436aa-3e49-4922-a0d5-a91fa6c2f986;13825;utilize haptic;recontextualize methodology;Sports Bedfordshire;false;Burundi lavender synergies;Ergonomic;port;2023-03-30;2023-03-30;2023-03-30
5;5f1982ce-ed42-47e2-ab60-8b96858ffdc2;64076;encryption Direct;secondary;Prairie red;true;auxiliary tertiary focus;blockchains Mauritius;black;2023-03-30;2023-03-29;2023-03-30
6;592e708e-603a-4a06-8818-e0ee53e3ad50;31047;needs-based static;Borders background Tactics;sensor;true;Dynamic ROI Avon;invoice parsing matrix;Account;2023-03-30;2023-03-30;2023-03-29
7;c6ff305a-aa8e-4519-bc70-a549addebb43;74235;Accounts France intelligence;Accountability capability Gloves;Account viral;true;redefine benchmark B2C;iterate;panel interactive Games;2023-03-30;2023-03-29;2023-03-29
8;49a1e499-583c-49e3-822a-b40953cf2d9a;34586;Global;paradigm application;New;false;solid;Kina Spurs;holistic Rhode;2023-03-29;2023-03-30;2023-03-30
9;70df2f7e-7fb9-4b32-9e18-f025b3176c43;24455;systems Analyst;Jewelery Architect Tools;Saint;false;well-modulated generate Proactive;Account;Bedfordshire;2023-03-30;2023-03-30;2023-03-30
10;8a7a97f3-4dd5-48a3-9e41-edf122817e70;51817;Concrete;Metal Solutions synergize;Plastic cyan Station;false;Assistant Triple-buffered;Music Health Account;azure;2023-03-29;2023-03-30;2023-03-30
